Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,AMQ-4591,12653876,"CronParser bug on getNextScheduledTime to handle the once per minute case ""* * * * *""",tabish,ralfaro,Major,Resolved,Fixed,20/Jun/13 07:08,08/Jul/13 14:22,
Bug,AMQ-4590,12653692,AMQP: Only one connection from a given container is allowed,,gsim,Major,Open,,19/Jun/13 12:05,30/Apr/15 15:06,
Bug,AMQ-4589,12653686,Race condition in AjaxListener causes lost messages,,themel,Major,Resolved,Fixed,19/Jun/13 10:54,19/Jun/13 16:32,
Bug,AMQ-4588,12653550,org.apache.activemq.util.IdGenerator calls non-configurable new ServerSocket(0);,,bdecoste,Minor,Resolved,Fixed,18/Jun/13 18:49,09/Jul/13 05:57,
Bug,AMQ-4587,12653530,AMQP to JMS transformer fails to properly map AMQP specific property types like UnsignedInteger,chirino,chirino,Major,Resolved,Fixed,18/Jun/13 17:22,18/Jun/13 17:25,
Bug,AMQ-4586,12653262,ActiveMQConnection leaks executor threads onException,,ceposta,Major,Resolved,Not A Problem,17/Jun/13 19:20,17/Jun/13 21:38,
Bug,AMQ-4585,12653240,MQTT BlockingConnection.receive fails when receiving pending messages after reconnect without cleaning session,,pmarques,Major,Closed,Fixed,17/Jun/13 18:16,14/Oct/14 17:15,
Bug,AMQ-4583,12653163,Links on http://activemq.apache.org/redelivery-policy.html are outdated,,lichtin,Minor,Resolved,Fixed,17/Jun/13 09:58,17/Jun/13 14:24,
Bug,AMQ-4582,12652700,Specifying invalid ciphersuite in SSL transport causes all available ciphersuites to be enabled,tabish,rhuffman,Major,Resolved,Fixed,13/Jun/13 17:02,08/Aug/13 20:27,
Bug,AMQ-4581,12652408,JDBCPersistenceAdapter can ignore statements settings depending on configuration order.,tabish,tabish,Major,Resolved,Fixed,12/Jun/13 14:01,24/Jul/13 16:20,
Bug,AMQ-4576,12651340,MQTT BlockingConnection.receive fails when subscribing multiple topics,tabish,pmarques,Major,Resolved,Fixed,06/Jun/13 14:26,17/Jun/13 17:54,
Bug,AMQ-4575,12651332,JDBCIOExceptionHandler does not restart TransportConnector when JMX is enabled  on broker - java.io.IOException: Transport Connector could not be registered in JMX,tabish,pgfox,Major,Resolved,Fixed,06/Jun/13 13:38,19/Jun/15 19:14,
Bug,AMQ-4573,12650948,AMQ not starting when using default heart beat,,kamorrissey,Major,Closed,Cannot Reproduce,04/Jun/13 18:03,02/Jul/13 23:30,
Bug,AMQ-4572,12650916,broken link at http://svn.apache.org/repos/asf/activemq/trunk/activemq-core/src/main/resources/META-INF/services/org/apache/activemq/store/jdbc/,,shikida,Trivial,Resolved,Fixed,04/Jun/13 16:42,04/Jun/13 17:39,
Bug,AMQ-4569,12650892,Stomp inactivity timeout takes significantly longer than specified,,kamorrissey,Minor,Resolved,Not A Problem,04/Jun/13 14:57,06/Jun/13 19:11,
Bug,AMQ-4568,12650837,org.apache.activemq.transport.amqp.AmqpTransformerTest#testRawTransformation hangs,,kearls,Minor,Resolved,Fixed,04/Jun/13 07:52,12/Jun/13 19:21,
Bug,AMQ-4566,12650551,Broker hangs when forced to wait for DB connection from pool,,koppenheim,Major,Closed,Duplicate,03/Jun/13 02:58,07/Dec/15 20:15,
Bug,AMQ-4564,12650338,ActiveMQ creates & initializes ACTIVEMQ_LOCK in wrong database when using separate lock data source,gtully,tboemker@elynx.com,Minor,Resolved,Fixed,31/May/13 13:25,03/Oct/13 21:43,
Bug,AMQ-4563,12650132,Persisted messages reappear after broker restart when using amqp,tabish,kearls,Major,Resolved,Fixed,30/May/13 12:21,27/Mar/14 15:34,
Bug,AMQ-4562,12650104,SimplePriorityMessageDispatchChannel.clear() needs to reset size attribute,tabish,tmielke,Major,Resolved,Fixed,30/May/13 08:34,30/May/13 14:29,
Bug,AMQ-4561,12649865,Deadlock in DemandForwardingBridgeSupport class if ConsumerInfo message has arrived before BrokerInfo message.,,sdcf,Major,Closed,Incomplete,29/May/13 09:29,15/Jul/13 12:30,
Bug,AMQ-4560,12649722,Exception from AMQP transport when dispatching Messages from the store.,tabish,tabish,Major,Resolved,Fixed,28/May/13 15:03,28/May/13 15:05,
Bug,AMQ-4559,12649721,Minor error in org.apache.activemq.transport.amqp.JMSClientTest,tabish,kearls,Minor,Resolved,Fixed,28/May/13 15:03,28/May/13 15:11,
Bug,AMQ-4556,12649475,"Store based cursor ""forgets"" messages",,cs.fra.community@sungard.com,Major,Open,,26/May/13 14:06,18/Mar/21 17:56,
Bug,AMQ-4555,12649327,Locking in SimpleCachedLDAPAuthorizationMap can lead to delays in Message dispatch.,tabish,tabish,Major,Resolved,Fixed,24/May/13 14:04,24/May/13 14:27,
Bug,AMQ-4554,12649289,NumberFormatException when parsing JMSXProducerTXID,tabish,nbrys,Blocker,Resolved,Fixed,24/May/13 09:39,24/May/13 21:38,
Bug,AMQ-4548,12648751,KahaDB can recover old inflight XA transactions that keep logs from being cleaned up.,tabish,tabish,Major,Resolved,Fixed,21/May/13 22:17,21/May/13 22:26,
Bug,AMQ-4546,12648486,kahadbstore nullpointerexception after restart,,zerovian,Major,Closed,Cannot Reproduce,20/May/13 18:59,15/Aug/13 21:39,
Bug,AMQ-4544,12648308,Cant send MQTT message to AMQP endpoints,chirino,chirino,Major,Resolved,Fixed,18/May/13 16:26,18/May/13 16:40,
Bug,AMQ-4543,12648290,Client already connected error when connecting to MQTT server a second time ,,popeye,Major,Closed,Fixed,18/May/13 08:14,08/Dec/14 18:37,
Bug,AMQ-4542,12648212,Broken javax.jms.Message.getObjectProperty(String),tabish,aldib,Major,Resolved,Fixed,17/May/13 16:59,28/May/13 17:43,
Bug,AMQ-4541,12648098,"The activemq-admin script cannot connect to the local process , can not get the jmx url",,hengyunabc,Trivial,Resolved,Fixed,17/May/13 01:46,26/Aug/13 18:35,
Bug,AMQ-4540,12648079,NetworkBridge - don't wait for ever for demandSubscription pending send responses on remove,,gtully,Major,Open,,16/May/13 23:28,12/Mar/15 13:26,
Bug,AMQ-4538,12647736,activemq-perftest broken in 5.8.0,,nickspacek,Major,Closed,Duplicate,15/May/13 12:46,15/May/13 13:18,
Bug,AMQ-4537,12647735,activemq-perftest broken in 5.8.0,ceposta,nickspacek,Major,Resolved,Fixed,15/May/13 12:46,15/May/13 16:30,
Bug,AMQ-4536,12647497,activemq configured with leveldb commit fail when accessed by PutGet f-tion from IBM Perf Harness,,vhubeika,Major,Closed,Duplicate,14/May/13 12:25,14/May/13 12:28,
Bug,AMQ-4535,12647495,activemq configured with leveldb commit fail when accessed by PutGet f-tion from IBM Perf Harness,chirino,vhubeika,Major,Resolved,Fixed,14/May/13 12:19,22/Aug/13 21:37,
Bug,AMQ-4534,12647440,When using ElectingLevelDBStore cannot delete all messages on startup,ceposta,ceposta,Minor,Resolved,Fixed,14/May/13 03:36,14/May/13 03:38,
Bug,AMQ-4533,12647406,Messages stuck in queue with redelivered=true,tabish,jshepher,Major,Resolved,Fixed,13/May/13 23:39,21/Mar/14 12:42,
Bug,AMQ-4532,12647385,shutdown of VMTransportServer should report disposed exception to peer pending requests,gtully,gtully,Major,Resolved,Fixed,13/May/13 21:41,13/May/13 21:45,
Bug,AMQ-4531,12647333,TcpTransportServer can leak FDs when maximumConnection is set and the limit exceeded,tabish,tabish,Major,Resolved,Fixed,13/May/13 17:01,07/Aug/13 10:14,
Bug,AMQ-4530,12647272,activemq-web unable to show StringProperties on Message,tabish,kaaveland,Major,Resolved,Fixed,13/May/13 09:34,13/May/13 15:37,
Bug,AMQ-4529,12647013,leveldb store NPEs when you send to a composite destination.,chirino,chirino,Major,Resolved,Fixed,10/May/13 14:01,23/May/13 18:31,
Bug,AMQ-4528,12646894,typo in Stomp for PHP causes durable subscriptions to topic to not register correctly,,ricksustek,Minor,Closed,Not A Problem,09/May/13 21:56,09/May/13 22:04,
Bug,AMQ-4525,12646623,Broken link on the How can I monitor the connection with the broker doc page,,jsherman1,Minor,Resolved,Fixed,08/May/13 14:14,08/May/13 14:26,
Bug,AMQ-4523,12646604,The durable subscriber will lose some pending queue message ,,hengyunabc,Major,Closed,Not A Problem,08/May/13 12:03,09/May/13 01:20,
Bug,AMQ-4521,12646546,stomp tcp keepalive not working,,aletheia7,Major,Closed,Won't Fix,08/May/13 02:01,09/May/13 00:26,
Bug,AMQ-4519,12646495,MasterLevelDBStore does not shutdown its protocol server when stopped,ceposta,ceposta,Minor,Resolved,Fixed,07/May/13 20:28,07/May/13 20:30,
Bug,AMQ-4517,12646435,The Advisory for Messages being sent to the DLQ is sent regardless of the Message actually being DLQd,tabish,tabish,Minor,Resolved,Fixed,07/May/13 16:19,07/May/13 21:17,
Bug,AMQ-4516,12646416,Don't decrement topic enqueues when messages are expired,ceposta,ceposta,Minor,Resolved,Fixed,07/May/13 14:37,07/May/13 14:39,
Bug,AMQ-4513,12646318,Deadlock can occur on dispose of TempQueue that contains expired Messages,tabish,tabish,Critical,Resolved,Fixed,06/May/13 22:30,07/May/13 16:16,
Bug,AMQ-4512,12646315,MemoryUsage waitForSpace in inconsistent state,tabish,shendley,Major,Resolved,Fixed,06/May/13 22:14,14/Oct/15 16:14,
Bug,AMQ-4511,12646239,Build failure on trunk: Failure to find org.apache.activemq:activemq-unit-tests:jar:tests:5.9-SNAPSHOT,cschneider,cschneider,Major,Resolved,Invalid,06/May/13 16:11,19/Dec/16 13:07,
Bug,AMQ-4507,12645801,FailoverTransport throws NullPointerException,gtully,tom_guenter,Minor,Closed,Fixed,02/May/13 12:43,01/Jun/14 19:46,
Bug,AMQ-4505,12645726,Client doesn't fail over to other broker if updateClusterClientsOnRemove = true,tabish,carlospollo11,Critical,Resolved,Fixed,01/May/13 23:56,11/Mar/19 13:34,
Bug,AMQ-4504,12645696,Stalled pending message dispatch to composite destination consumer,gtully,gtully,Major,Resolved,Fixed,01/May/13 20:43,01/May/13 20:50,
Bug,AMQ-4503,12645650,browseAsTable() returns data but browse() does not when browsing a DLQ with some expired messages on it?,,jstrachan,Major,Closed,Fixed,01/May/13 16:45,02/May/13 09:20,
Bug,AMQ-4502,12645607,Stomp messages with no expiration not removed from queue,,aletheia7,Major,Closed,Not A Problem,01/May/13 07:40,08/May/13 04:03,
Bug,AMQ-4501,12645557,Failover priorityBackup doesn't work if client accepts updates to its list of known URIs from the broker.,tabish,carlospollo11,Major,Resolved,Fixed,30/Apr/13 23:52,01/May/13 20:55,
Bug,AMQ-4500,12645516,Changes to AMQ2832Test cause SparseAckReplayAfterStoreCleanupLevelDBStoreTest to fail,,kearls,Minor,Resolved,Fixed,30/Apr/13 20:49,30/Apr/13 21:12,
Bug,AMQ-4498,12645387,After Brutal shutdown ActiveMQ throw java.io.StreamCorruptedException,,almogshu,Major,Closed,Incomplete,30/Apr/13 08:00,23/Jul/13 19:15,
Bug,AMQ-4497,12645385,Shared File System Master/Slave function broken with NFSv4 after network back stable,,eden.chen,Major,Open,,30/Apr/13 07:41,14/Jul/14 11:34,
Bug,AMQ-4496,12645380,"""Error formatting macro"" on ""how to use SSL page""",,kotkot,Major,Resolved,Fixed,30/Apr/13 07:21,10/Jul/13 20:57,
Bug,AMQ-4495,12645235,Improve cursor memory management,gtully,dejanb,Major,Resolved,Fixed,29/Apr/13 13:44,13/Sep/19 15:12,
Bug,AMQ-4494,12645233,Cursor hasSpace() doesn't check system usage,dejanb,dejanb,Major,Resolved,Duplicate,29/Apr/13 13:38,30/Apr/13 11:48,
Bug,AMQ-4493,12645199,Temporary destinations via STOMP fails using chained Request/Reply ,,jhberges,Major,Open,,29/Apr/13 08:02,02/May/13 13:56,
Bug,AMQ-4491,12644821,activemq-camel component is not a bundle,jbonofre,brozow,Major,Resolved,Fixed,26/Apr/13 12:17,24/Sep/13 07:18,
Bug,AMQ-4490,12644805,JDBCMessageStore fails to retrieve message after 200 messages when cache is disabled,,metatech,Major,Closed,Fixed,26/Apr/13 10:05,15/May/13 10:10,
Bug,AMQ-4489,12644804,"Newly received messages with higher priority are never consumed, until broker is restarted",,metatech,Major,Resolved,Fixed,26/Apr/13 09:46,22/Jan/16 22:46,
Bug,AMQ-4487,12644624,java.lang.OutOfMemoryError: Java heap space,tabish,subathra1985,Major,Resolved,Fixed,25/Apr/13 16:16,11/Jul/13 16:24,
Bug,AMQ-4486,12644607,ActiveMQResourceAdapter.getXARessources() broken,gtully,gtully,Major,Resolved,Fixed,25/Apr/13 14:22,11/Jun/20 18:36,
Bug,AMQ-4485,12644590,Skipped message dispatch with concurrent transacted sends at cursor memory limit,gtully,gtully,Major,Resolved,Fixed,25/Apr/13 12:31,09/Feb/16 12:54,
Bug,AMQ-4484,12644386,NetworkConnectors create a consumer for queue://,,ron.koerner,Major,Resolved,Fixed,24/Apr/13 16:57,13/May/13 18:24,
Bug,AMQ-4480,12643919,"mkahadb with perDestination=""true"" lazily loads kahadb journal files after startup",,tmielke,Major,Closed,Not A Problem,22/Apr/13 11:57,30/May/13 19:53,
Bug,AMQ-4479,12643590,BrokerService attempts to connect to JMX even though the broker url includes useJmx=false. Same behaviour when BrokerService#setUseJmx is being used.,,me@instilled.org,Minor,Closed,Incomplete,19/Apr/13 13:52,25/Apr/13 14:04,
Bug,AMQ-4478,12643546,ActiveMQ as WebSphere JMS Provider does not reconnect after AMQ server restart,,andrzej.wieclaw@gmail.com,Major,Closed,Duplicate,19/Apr/13 09:58,19/Apr/13 10:00,
Bug,AMQ-4477,12643545,ActiveMQ as WebSphere JMS Provider does not reconnect after AMQ server restart,,andrzej.wieclaw@gmail.com,Major,Closed,Not A Problem,19/Apr/13 09:57,08/May/13 16:58,
Bug,AMQ-4476,12643540,ActiveMQ WebSphere 7 JMS Provider - MBD - message consumed even though transaction marked for rollback,,andrzej.wieclaw@gmail.com,Major,Open,,19/Apr/13 09:45,30/Oct/13 11:00,
Bug,AMQ-4475,12642978,NullPointerException with IndividualDeadLetterStrategy and TimeStampBrokerPlugin,tabish,tabish,Major,Resolved,Fixed,17/Apr/13 17:25,17/Apr/13 18:07,
Bug,AMQ-4474,12642884,NPE in ActiveMQXASession.getTransacted(),,lichtin,Major,Resolved,Fixed,17/Apr/13 08:00,17/Apr/13 14:19,
Bug,AMQ-4472,12642778,consumer.close() on transacted session does not release prefetched messages,chirino,jsherman1,Major,Resolved,Fixed,16/Apr/13 17:50,16/Jul/14 20:30,
Bug,AMQ-4471,12642554,Inconsistent messages with the WebSocket/Stomp Demo,,matzew,Minor,Resolved,Fixed,15/Apr/13 15:30,03/Jun/15 18:32,
Bug,AMQ-4470,12642365,Stomp 1.0 Heartbeat does not work for stomp ssl,,aletheia7,Major,Closed,Fixed,13/Apr/13 05:44,13/Apr/13 06:08,
Bug,AMQ-4469,12642269,Maximum connections control can not work in concurrent environment,,wangyin,Major,Resolved,Fixed,12/Apr/13 16:20,12/Apr/13 23:02,
Bug,AMQ-4468,12642198,TimeStampPlugin doesn't work with Stomp,tabish,aletheia7,Minor,Closed,Not A Problem,12/Apr/13 07:05,28/May/13 17:18,
Bug,AMQ-4467,12641980,Memory usage percent can be exceeded much if PFC is disabled,gtully,wangyin,Major,Resolved,Fixed,11/Apr/13 05:44,25/May/17 11:48,
Bug,AMQ-4466,12641848,Cannot pass parameters to ServerMojo in activemq-perf tooling because incorrect maven plugin syntax,,ceposta,Minor,Resolved,Fixed,10/Apr/13 14:46,15/May/13 16:30,
Bug,AMQ-4464,12641665,NonBlocking redelivery redelivers messages in reverse order.,tabish,tabish,Major,Resolved,Fixed,09/Apr/13 17:03,09/Apr/13 17:05,
Bug,AMQ-4463,12641463,org.apache.activemq.bugs.AMQ4368Test.testENTMQ220 fails intermittently,,kearls,Minor,Resolved,Fixed,08/Apr/13 21:46,08/Apr/13 22:34,
Bug,AMQ-4462,12641426,nullpointerexception in KahaDBStore.getDestinations on startup,,zerovian,Major,Closed,Cannot Reproduce,08/Apr/13 18:53,22/Apr/13 14:42,
Bug,AMQ-4461,12641397,Priority backup with mulitple brokers,dejanb,dejanb,Major,Resolved,Fixed,08/Apr/13 16:52,18/Sep/13 13:40,
Bug,AMQ-4460,12641243,Persistent topic messages not stored in store,,fair.price,Blocker,Closed,Not A Problem,07/Apr/13 09:13,08/Apr/13 13:46,
Bug,AMQ-4441,12640951,Race condition in PooledConnectionFactory.createConnection,tabish,andrei.sobchuck,Major,Resolved,Fixed,05/Apr/13 07:15,08/Apr/13 18:58,
Bug,AMQ-4440,12640946,Consumer stuck after failover if selector is present,,bazhenov,Major,Closed,Cannot Reproduce,05/Apr/13 06:53,06/Apr/13 00:28,
Bug,AMQ-4439,12640851,"Stomp 1.1 connections ignore ""persistent"" option",,treyhyde,Major,Closed,Cannot Reproduce,04/Apr/13 20:22,18/Apr/13 23:51,
Bug,AMQ-4437,12640769,JUnit deprecation warnings,,lionel.cons,Major,Resolved,Fixed,04/Apr/13 13:53,04/Apr/13 15:00,
Bug,AMQ-4436,12640768,LevelDB compilation warnings,,lionel.cons,Major,Closed,Duplicate,04/Apr/13 13:48,04/Apr/13 14:00,
Bug,AMQ-4435,12640745,"ActiveMQConnectionFatory should populate ""consumerFailoverRedeliveryWaitPeriod""",,dguggi,Trivial,Resolved,Fixed,04/Apr/13 10:55,04/Apr/13 14:33,
Bug,AMQ-4434,12640630,AcitveMQ stop responding when OS running out of free disk space,,andriykalashnykov,Major,Closed,Fixed,03/Apr/13 21:41,22/Jan/16 21:40,
Bug,AMQ-4432,12640485,Validate camel context within activemq.xml in karaf,gtully,gtully,Major,Resolved,Fixed,03/Apr/13 10:34,03/Apr/13 11:30,
Bug,AMQ-4428,12640319,Don't swallow errors in IntrospectionSupport.setProperty,gtully,qerub,Minor,Resolved,Fixed,02/Apr/13 14:57,07/Dec/18 12:51,
Bug,AMQ-4427,12640315,Many of the activemq-http tests are failing on Jenkins,,kearls,Major,Resolved,Fixed,02/Apr/13 14:41,02/Apr/13 14:49,
Bug,AMQ-4419,12639909,QueueBrowser ignoring MemoryUsage and Causing Heap Space Error,,omnibot2k,Major,Closed,Incomplete,30/Mar/13 02:31,08/Jul/13 20:05,
Bug,AMQ-4417,12639777,Unbalanced usage Exception in Valve.decrement,,vibaudry,Major,Closed,Cannot Reproduce,29/Mar/13 09:33,04/Apr/13 20:33,
Bug,AMQ-4416,12639772,NoClassDefFoundError logged on DEBUG level,,wm,Minor,Open,,29/Mar/13 07:49,22/Aug/14 12:43,
Bug,AMQ-4415,12639641,"AMQ2584Test, AMQ2870Test, and several others hang or fail on some platforms when using LevelDB",,kearls,Major,Resolved,Fixed,28/Mar/13 18:15,28/Mar/13 18:43,
Bug,AMQ-4413,12639492,Persistent message loss when JMS durable subscriber reconnects regardless of message store impl.,tabish,choijw1,Critical,Resolved,Fixed,28/Mar/13 00:04,30/May/13 09:16,
Bug,AMQ-4411,12639330,activemq-osgi <Bundle-NativeCode> directive is too strict - needs to be optional,gtully,gtully,Major,Resolved,Fixed,27/Mar/13 14:29,24/Jul/13 15:13,
Bug,AMQ-4410,12639307,Typo in PooledConnectionFactory.java,,dguggi,Minor,Resolved,Fixed,27/Mar/13 13:25,27/Mar/13 14:19,
Bug,AMQ-4409,12639286,Documentation is wrong about default value for wireFormat.tcpNoDelayEnabled,,qerub,Minor,Resolved,Fixed,27/Mar/13 11:17,27/Mar/13 14:35,
Bug,AMQ-4408,12639218,no network bridge loopback suppression with url scheme mismatch,gtully,gtully,Major,Resolved,Fixed,26/Mar/13 22:50,26/Mar/13 22:58,
Bug,AMQ-4407,12639118,mKahaDB: PageFile is not loaded when recreating queue,gtully,juan.nin,Major,Resolved,Fixed,26/Mar/13 15:41,28/Mar/13 04:34,
Bug,AMQ-4406,12639098,Remove command agent,jbonofre,dejanb,Major,Reopened,,26/Mar/13 13:52,05/Feb/14 01:02,
Bug,AMQ-4400,12638584,org.apache.bugs.LoadBalanceTest fails intermittently,,kearls,Minor,Resolved,Fixed,22/Mar/13 20:12,22/Mar/13 20:25,
Bug,AMQ-4398,12638204,XSS vulnerability in demo web application ,dejanb,dejanb,Major,Resolved,Fixed,21/Mar/13 10:27,21/Mar/13 13:28,
Bug,AMQ-4397,12638203,XSS vulnerability in scheduled.jsp,dejanb,dejanb,Major,Resolved,Fixed,21/Mar/13 10:14,23/Apr/13 08:17,
Bug,AMQ-4394,12638144,Can't get module activemq-all with Ivy: org.apache.qpid#proton-jms;0.3.0-fuse-2: not found,,ggregory,Major,Closed,Not A Problem,21/Mar/13 01:41,22/Mar/13 14:20,
Bug,AMQ-4393,12638006,Web console do not show connections info,tabish,hengyunabc,Trivial,Resolved,Fixed,20/Mar/13 15:53,20/Mar/13 17:43,
Bug,AMQ-4392,12637972,MQTT BlockingConnection disconnect doesn't disconnects the client connection,tabish,pmarques,Major,Resolved,Fixed,20/Mar/13 13:08,23/Apr/13 17:04,
Bug,AMQ-4390,12637821,Number of message when browsing queue is lower than Number of Pending Messages,,mhenley,Major,Closed,Incomplete,19/Mar/13 21:01,10/May/13 17:21,
Bug,AMQ-4389,12637817,AMQ4351Test fails on slow boxes,,kearls,Minor,Resolved,Fixed,19/Mar/13 20:29,19/Mar/13 21:02,
Bug,AMQ-4388,12637647,org.apache.activemq.bugs.AMQ3625Test fails on Windows,,kearls,Minor,Resolved,Fixed,18/Mar/13 21:22,18/Mar/13 21:29,
Bug,AMQ-4387,12637643,AMQ4126Test has additional test failures on Windows,,kearls,Minor,Resolved,Fixed,18/Mar/13 21:11,18/Mar/13 21:30,
Bug,AMQ-4386,12637636,AMQ4133Test has 2 additional test case failures on Windows,tabish,kearls,Minor,Resolved,Fixed,18/Mar/13 20:45,18/Mar/13 21:08,
Bug,AMQ-4385,12637617,LevelDBXARecoveryBrokerTest has multiple failures on Windows,tabish,kearls,Major,Resolved,Fixed,18/Mar/13 19:48,18/Mar/13 19:54,
Bug,AMQ-4384,12637602,KahaDBStoreRecoveryBrokerTest has multiple failures on windows,tabish,kearls,Major,Resolved,Fixed,18/Mar/13 18:34,18/Mar/13 18:52,
Bug,AMQ-4383,12637508,ActiveMQ dependency not present in central maven repository ??,,xbhanu,Major,Closed,Cannot Reproduce,18/Mar/13 10:25,17/Oct/13 16:06,
Bug,AMQ-4382,12637485,jdbcPersistenceAdapter does not use lockCreateStatement value,,jshepher,Major,Closed,Duplicate,18/Mar/13 05:42,24/Jul/13 16:20,
Bug,AMQ-4381,12637482,"Broker throwing exception ""Failed to create directory 'activemq-data/amqProdBroker/tmp_storage'""",,xbhanu,Major,Closed,Cannot Reproduce,18/Mar/13 04:52,15/Apr/13 18:52,
Bug,AMQ-4380,12637437,Related Activemq Persistance link is dead,,alanfoster,Minor,Resolved,Fixed,17/Mar/13 14:41,18/Mar/13 14:18,
Bug,AMQ-4379,12637246,org.apache.activemq.transport.amqp.JMSClientTest fails on Windows,,kearls,Minor,Resolved,Fixed,15/Mar/13 19:08,15/Mar/13 19:18,
Bug,AMQ-4378,12637214,Documentation on Shared File System Master Slave wrong or out of date,,jliptak,Minor,Closed,Incomplete,15/Mar/13 15:42,26/Aug/13 16:58,
Bug,AMQ-4377,12637213,Bring back activemq-blueprint module and feature,dejanb,dejanb,Major,Resolved,Fixed,15/Mar/13 15:42,15/Mar/13 15:45,
Bug,AMQ-4376,12637207,JoramJmsTest QueueBrowserTest.testSenderBrowser fails intermittently.,chirino,kearls,Major,Resolved,Fixed,15/Mar/13 14:35,20/Jun/13 16:08,
Bug,AMQ-4375,12637206,"JoramJmsTest UnifiedSessionTest and TopicConnectionTest hang when run with SSL, or on windows.",,kearls,Major,Closed,Cannot Reproduce,15/Mar/13 14:32,02/Apr/15 23:02,
Bug,AMQ-4373,12637039,JMS Client isn't throwing JMSSecuirtyException with invalid login credentials,tabish,tabish,Major,Resolved,Fixed,14/Mar/13 15:39,14/Mar/13 15:45,
Bug,AMQ-4372,12637024,WebConsole throw Java Heap Space when browse a queue with more than 100 elements,tabish,elendrim,Major,Resolved,Fixed,14/Mar/13 13:55,22/Jul/13 07:40,
Bug,AMQ-4371,12637021,RSS and ATOM feeds doesn't work in web-console,davsclaus,elendrim,Minor,Resolved,Fixed,14/Mar/13 13:47,02/Oct/13 15:55,
Bug,AMQ-4370,12636844,Potential deadlock between FailoverTransport,,silviosams,Major,Resolved,Fixed,13/Mar/13 19:44,20/Mar/13 12:01,
Bug,AMQ-4369,12636775,Default IOException handler needs to be set before Persistence adapter and network connectors are started,gtully,gtully,Major,Resolved,Fixed,13/Mar/13 13:51,13/Mar/13 14:08,
Bug,AMQ-4368,12636602,Using a policy.setUseCache(false) /w KahaDB causes 'java.io.IOException: Could not locate data file' errors.,chirino,chirino,Major,Resolved,Fixed,12/Mar/13 16:43,18/Mar/13 15:10,
Bug,AMQ-4366,12636075,PooledConnectionFactory closes connections that are in use,tabish,pjanata,Major,Resolved,Fixed,08/Mar/13 16:58,23/Feb/17 15:48,
Bug,AMQ-4364,12636007,Cannot delete queue via JMX or JConsole,tabish,lionel.cons,Major,Resolved,Fixed,08/Mar/13 11:40,28/Mar/13 16:37,
Bug,AMQ-4363,12635825,org.apache.activemq.store.jdbc.JDBCXACommitExceptionTest has 2 test failures,tabish,kearls,Major,Resolved,Fixed,07/Mar/13 16:19,07/Mar/13 17:13,
Bug,AMQ-4361,12635662,Deadlock during close while publishing to flow-controlled queue,tabish,shendley,Major,Resolved,Fixed,06/Mar/13 21:02,22/Oct/15 14:51,
Bug,AMQ-4359,12634852,activemq-web simple session pool needs more error handling,tabish,tabish,Minor,Resolved,Fixed,01/Mar/13 16:56,01/Mar/13 16:58,
Bug,AMQ-4357,12634838,Corrupt KahaDB Index may cause EOFException on first message,,ken_barber,Major,Open,,01/Mar/13 16:06,04/Mar/13 14:53,
Bug,AMQ-4356,12634821,unsubcribes DurableSuscriber does not work  well with Virtual Topics ,tabish,fedew,Major,Resolved,Fixed,01/Mar/13 14:49,05/Jun/13 12:03,
